path_img,bbox,class_id
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2.jpg,"[[1141.0, 134.0, 36, 58], [1088.0, 195.0, 46, 68], [1142.0, 277.0, 50, 68]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9.jpg,"[[291.0, 697.0, 32, 60], [866.0, 830.0, 46, 58]]","[1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763.jpg,"[[1016.0, 167.0, 38, 32]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/0_80_90_0_02281_jpg.rf.2c884264fbacfdd85d704386c7c3817d.jpg,"[[1162.0, 22.0, 38, 42], [1268.0, 19.0, 22, 36], [1131.0, 94.0, 24, 34], [1192.0, 93.0, 30, 28], [1082.0, 436.0, 46, 46], [989.0, 661.0, 32, 44], [842.0, 578.0, 30, 26], [808.0, 569.0, 34, 44], [710.0, 577.0, 26, 28], [810.0, 652.0, 26, 34], [978.0, 784.0, 50, 50], [953.0, 730.0, 56, 46]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/0_110_60_0_08455_jpg.rf.6e20d9cd019689f49fd737c9e0f78664.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/1_80_60_0_01241_jpg.rf.32e0dc1fa7dff7a74c4ce0219211bd36.jpg,"[[598.0, 690.0, 22, 50], [639.0, 799.0, 32, 52], [869.0, 166.0, 32, 50], [881.0, 262.0, 20, 46], [902.0, 260.0, 18, 46], [968.0, 167.0, 22, 44], [990.0, 196.0, 26, 42], [946.0, 221.0, 26, 52], [949.0, 267.0, 28, 52], [932.0, 786.0, 26, 22], [802.0, 733.0, 18, 24], [791.0, 770.0, 28, 34], [832.0, 740.0, 22, 26], [946.0, 806.0, 42, 50], [874.0, 913.0, 34, 40], [995.0, 835.0, 20, 40], [1033.0, 844.0, 44, 50], [984.0, 905.0, 26, 44]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/0_70_40_0_01911_jpg.rf.819ae55788047e705f5d15c911adedbd.jpg,"[[26.0, 319.0, 34, 44], [861.0, 319.0, 24, 48], [831.0, 337.0, 20, 36], [894.0, 370.0, 22, 50], [837.0, 448.0, 20, 42], [923.0, 353.0, 24, 44], [953.0, 416.0, 16, 34], [437.0, 490.0, 32, 38], [542.0, 504.0, 26, 42], [446.0, 546.0, 30, 38], [473.0, 569.0, 36, 40], [509.0, 558.0, 28, 38], [451.0, 589.0, 24, 40], [575.0, 567.0, 28, 44], [578.0, 617.0, 26, 40], [925.0, 426.0, 20, 30], [497.0, 746.0, 52, 50], [659.0, 722.0, 24, 38]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/0_60_80_0_01793_jpg.rf.ac15b22efbdf1db87ae230b09fea0a8c.jpg,"[[867.0, 183.0, 28, 52], [507.0, 608.0, 32, 42], [426.0, 881.0, 26, 40], [538.0, 726.0, 34, 42], [571.0, 757.0, 32, 48], [1003.0, 25.0, 20, 44], [960.0, 120.0, 22, 46], [1193.0, 343.0, 40, 48]]","[1, 1, 1, 1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/imgs/1_90_30_0_08813_jpg.rf.b651434914a5427b405cde8cef0d9511.jpg,[],[]
